,train_precision,train_recall,train_f1,train_treshold
0,0.6978695,1.0,0.82205313,8.397554e-05
1,0.69786114,0.9999602,0.8220339,8.4561514e-05
2,0.6978805,0.9999602,0.82204735,8.529996e-05
3,0.6978999,0.9999602,0.8220608,8.6288244e-05
4,0.69791925,0.9999602,0.82207423,8.7122324e-05
5,0.6979387,0.9999602,0.8220877,8.71559e-05
6,0.69795805,0.9999602,0.8221012,8.717769e-05
7,0.6979774,0.9999602,0.8221146,8.7298635e-05
8,0.69799685,0.9999602,0.82212806,8.7364424e-05
9,0.6980162,0.9999602,0.8221415,8.789271e-05
10,0.6980356,0.9999602,0.82215494,8.8360954e-05
11,0.698055,0.9999602,0.8221684,8.918556e-05
12,0.6980744,0.9999602,0.8221819,8.968798e-05
13,0.69809383,0.9999602,0.8221953,9.097678e-05
14,0.6981132,0.9999602,0.82220876,9.0991874e-05
15,0.69813263,0.9999602,0.82222223,9.172173e-05
16,0.698152,0.9999602,0.82223564,9.1792346e-05
17,0.69817144,0.9999602,0.8222492,9.181564e-05
18,0.6981908,0.9999602,0.8222626,9.2661336e-05
19,0.69821024,0.9999602,0.82227606,9.279335e-05
20,0.6982296,0.9999602,0.8222895,9.320368e-05
21,0.69824904,0.9999602,0.82230294,9.346785e-05
22,0.6982684,0.9999602,0.8223164,9.3865325e-05
23,0.69828784,0.9999602,0.8223299,9.431519e-05
24,0.6983073,0.9999602,0.82234335,9.505901e-05
25,0.69832665,0.9999602,0.8223568,9.5204516e-05
26,0.6983461,0.9999602,0.82237023,9.524229e-05
27,0.6983655,0.9999602,0.8223837,9.634557e-05
28,0.6983849,0.9999602,0.8223971,9.643455e-05
29,0.6984043,0.9999602,0.8224106,9.671599e-05
30,0.69842374,0.9999602,0.82242405,9.690486e-05
31,0.6984432,0.9999602,0.8224375,9.699693e-05
32,0.69846255,0.9999602,0.822451,9.7191005e-05
33,0.698482,0.9999602,0.8224644,9.745215e-05
34,0.6985014,0.9999602,0.82247794,9.833842e-05
35,0.69852084,0.9999602,0.82249135,9.842182e-05
36,0.6985403,0.9999602,0.8225049,9.8535165e-05
37,0.69855964,0.9999602,0.8225183,9.8763376e-05
38,0.6985791,0.9999602,0.82253176,9.9185454e-05
39,0.6985985,0.9999602,0.82254523,9.926379e-05
40,0.69861794,0.9999602,0.8225587,9.965027e-05
41,0.69863737,0.9999602,0.8225722,0.00010013063
42,0.6986568,0.9999602,0.82258564,0.0001002621
43,0.6986762,0.9999602,0.8225991,0.00010146367
44,0.69869566,0.9999602,0.8226126,0.00010252241
45,0.6987151,0.9999602,0.82262605,0.00010334367
46,0.6987345,0.9999602,0.8226395,0.00010353196
47,0.69875395,0.9999602,0.822653,0.0001038356
48,0.6987734,0.9999602,0.82266647,0.00010396776
49,0.6987928,0.9999602,0.82267994,0.00010485127
50,0.69881225,0.9999602,0.82269335,0.00010488488
51,0.69883174,0.9999602,0.8227069,0.000105483065
52,0.69885117,0.9999602,0.82272035,0.000105494735
53,0.6988706,0.9999602,0.82273376,0.00010560041
54,0.69889003,0.9999602,0.8227473,0.0001082967
55,0.69890946,0.9999602,0.8227607,0.00010834122
56,0.6989289,0.9999602,0.82277423,0.00010846538
57,0.6989484,0.9999602,0.8227877,0.000108597844
58,0.6989678,0.9999602,0.8228012,0.00010898272
59,0.69898725,0.9999602,0.82281464,0.00010963479
60,0.6990067,0.9999602,0.8228281,0.00011156752
61,0.69902617,0.9999602,0.82284164,0.00011311588
62,0.6990456,0.9999602,0.82285506,0.000113185364
63,0.699065,0.9999602,0.8228686,0.000113208465
64,0.6990845,0.9999602,0.82288206,0.00011376048
65,0.69910395,0.9999602,0.8228955,0.00011397231
66,0.69912344,0.9999602,0.82290906,0.00011436751
67,0.6991429,0.9999602,0.8229224,0.00011447574
68,0.6991623,0.9999602,0.82293594,0.00011531189
69,0.6991818,0.9999602,0.8229494,0.000116579795
70,0.6992012,0.9999602,0.8229629,0.00011671327
71,0.6992207,0.9999602,0.8229764,0.00011856367
72,0.69924015,0.9999602,0.8229898,0.00011971177
73,0.69925964,0.9999602,0.82300335,0.00012003914
74,0.69927907,0.9999602,0.8230168,0.00012174012
75,0.69929856,0.9999602,0.8230303,0.00012237851
76,0.69931805,0.9999602,0.8230438,0.00012299446
77,0.6993375,0.9999602,0.8230573,0.00012328815
78,0.699357,0.9999602,0.82307076,0.0001235355
79,0.6993764,0.9999602,0.82308424,0.00012367516
80,0.6993959,0.9999602,0.8230977,0.00012378441
81,0.6994154,0.9999602,0.8231112,0.00012419432
82,0.6994348,0.9999602,0.8231247,0.00012514117
83,0.6994543,0.9999602,0.8231382,0.00012553009
84,0.6994738,0.9999602,0.82315165,0.00012584924
85,0.6994933,0.9999602,0.8231652,0.0001263115
86,0.6995127,0.9999602,0.82317865,0.00012700161
87,0.6995322,0.9999602,0.8231921,0.00012716361
88,0.6995517,0.9999602,0.8232056,0.00012771325
89,0.6995712,0.9999602,0.8232191,0.00012811064
90,0.6995907,0.9999602,0.8232326,0.00012835959
91,0.6996101,0.9999602,0.82324606,0.000128664
92,0.6996296,0.9999602,0.8232596,0.00012903589
93,0.6996491,0.9999602,0.82327306,0.00012987816
94,0.6996686,0.9999602,0.82328653,0.00013055588
95,0.6996881,0.9999602,0.82330006,0.00013194255
96,0.69970757,0.9999602,0.82331353,0.00013216933
97,0.69972706,0.9999602,0.823327,0.00013374865
98,0.69974655,0.9999602,0.8233405,0.00013396256
99,0.69976604,0.9999602,0.823354,0.00013418411
100,0.69978553,0.9999602,0.82336754,0.00013427665
101,0.699805,0.9999602,0.823381,0.00013465284
102,0.6998245,0.9999602,0.8233945,0.00013508677
103,0.699844,0.9999602,0.823408,0.00013516279
104,0.6998635,0.9999602,0.8234214,0.00013527148
105,0.699883,0.9999602,0.8234349,0.00013613417
106,0.6999025,0.9999602,0.82344836,0.000136739
107,0.69992197,0.9999602,0.8234619,0.00013724192
