,train_precision,train_recall,train_f1,train_treshold
0,0.763601,1.0,0.8659566,1.9766298e-05
1,0.7635938,0.9999602,0.8659371,1.9820964e-05
2,0.76361704,0.9999602,0.865952,1.9828942e-05
3,0.7636402,0.9999602,0.865967,1.9844341e-05
4,0.7636635,0.9999602,0.8659819,1.985123e-05
5,0.76368666,0.9999602,0.8659968,1.9872765e-05
6,0.7637099,0.9999602,0.86601174,1.990841e-05
7,0.7637331,0.9999602,0.86602664,1.9924137e-05
8,0.76375633,0.9999602,0.8660416,1.9926834e-05
9,0.7637795,0.9999602,0.8660565,1.9966095e-05
10,0.76380277,0.9999602,0.86607146,1.9973026e-05
11,0.76382595,0.9999602,0.86608636,1.9995878e-05
12,0.7638492,0.9999602,0.86610126,2.0025975e-05
13,0.76387244,0.9999602,0.8661163,2.0042422e-05
14,0.76389563,0.9999602,0.8661311,2.0079136e-05
15,0.7639189,0.9999602,0.8661461,2.0095915e-05
16,0.7639421,0.9999602,0.86616105,2.010019e-05
17,0.7639653,0.9999602,0.8661759,2.011551e-05
18,0.76398855,0.9999602,0.8661909,2.0171223e-05
19,0.7640118,0.9999602,0.8662058,2.018548e-05
20,0.76403505,0.9999602,0.8662208,2.033043e-05
21,0.7640583,0.9999602,0.8662357,2.033163e-05
22,0.76408154,0.9999602,0.8662507,2.0339388e-05
23,0.7641047,0.9999602,0.86626554,2.0347266e-05
24,0.76412797,0.9999602,0.8662805,2.0382302e-05
25,0.7641512,0.9999602,0.8662954,2.0470505e-05
26,0.76417446,0.9999602,0.86631036,2.0491521e-05
27,0.7641977,0.9999602,0.8663253,2.0500202e-05
28,0.76422095,0.9999602,0.8663402,2.0505207e-05
29,0.7642442,0.9999602,0.8663551,2.0516492e-05
30,0.76426744,0.9999602,0.86637,2.052665e-05
31,0.7642907,0.9999602,0.866385,2.0536792e-05
32,0.76431394,0.9999602,0.86639994,2.0563994e-05
33,0.76433724,0.9999602,0.86641484,2.0611173e-05
34,0.7643605,0.9999602,0.86642987,2.0663703e-05
35,0.76438373,0.9999602,0.8664447,2.0677187e-05
36,0.764407,0.9999602,0.8664597,2.0693242e-05
37,0.7644302,0.9999602,0.8664746,2.0698866e-05
38,0.76445353,0.9999602,0.8664896,2.070631e-05
39,0.7644768,0.9999602,0.86650455,2.0706882e-05
40,0.7645,0.9999602,0.86651945,2.0718537e-05
41,0.76452327,0.9999602,0.8665344,2.074323e-05
42,0.7645466,0.9999602,0.8665494,2.0761398e-05
43,0.7645698,0.9999602,0.86656433,2.0783269e-05
44,0.7645931,0.9999602,0.8665793,2.082662e-05
