,train_precision,train_recall,train_f1,train_treshold
0,0.74647176,1.0,0.854834,0.00024064563
1,0.74646425,0.9999602,0.8548145,0.00024116723
2,0.7464864,0.9999602,0.8548291,0.0002419074
3,0.7465086,0.9999602,0.8548436,0.00024251846
4,0.7465308,0.9999602,0.85485816,0.00024274517
5,0.74655294,0.9999602,0.8548727,0.00024296375
6,0.7465751,0.9999602,0.85488725,0.00024298274
7,0.74659735,0.9999602,0.85490185,0.00024305946
8,0.7466195,0.9999602,0.8549164,0.00024316538
9,0.7466417,0.9999602,0.85493094,0.00024330823
10,0.74666387,0.9999602,0.8549455,0.00024353268
11,0.7466861,0.9999602,0.85496,0.00024358607
12,0.7467083,0.9999602,0.85497457,0.00024447162
13,0.74673045,0.9999602,0.85498905,0.00024454645
14,0.7467527,0.9999602,0.8550036,0.0002449072
15,0.74677485,0.9999602,0.85501814,0.00024499942
16,0.7467971,0.9999602,0.85503274,0.0002457682
17,0.74681926,0.9999602,0.8550473,0.00024582306
18,0.7468415,0.9999602,0.8550619,0.0002460334
19,0.74686366,0.9999602,0.85507643,0.0002460486
20,0.7468859,0.9999602,0.855091,0.00024611832
21,0.74690807,0.9999602,0.8551055,0.00024612088
22,0.7469303,0.9999602,0.85512006,0.00024645738
23,0.7469525,0.9999602,0.85513455,0.0002466236
24,0.7469747,0.9999602,0.85514915,0.0002467936
25,0.7469969,0.9999602,0.8551637,0.00024753407
26,0.7470191,0.9999602,0.8551783,0.00024785925
27,0.74704134,0.9999602,0.85519284,0.00024788504
28,0.7470635,0.9999602,0.8552074,0.00024836528
29,0.74708575,0.9999602,0.8552219,0.00024914698
30,0.747108,0.9999602,0.85523653,0.0002492848
31,0.7471302,0.9999602,0.85525113,0.0002495635
32,0.7471524,0.9999602,0.8552656,0.00024958779
33,0.7471746,0.9999602,0.85528016,0.00024982446
34,0.74719685,0.9999602,0.8552947,0.00025034806
35,0.7472191,0.9999602,0.8553093,0.00025154292
36,0.7472413,0.9999602,0.8553239,0.00025219802
37,0.74726355,0.9999602,0.85533845,0.00025250984
38,0.7472858,0.9999602,0.855353,0.00025268953
39,0.747308,0.9999602,0.85536754,0.0002535453
40,0.74733025,0.9999602,0.85538214,0.00025375036
41,0.7473525,0.9999602,0.8553967,0.00025389
42,0.7473747,0.9999602,0.85541123,0.0002539396
43,0.74739695,0.9999602,0.85542583,0.00025399096
44,0.7474192,0.9999602,0.85544044,0.00025452377
45,0.7474414,0.9999602,0.8554549,0.0002547306
46,0.74746364,0.9999602,0.85546947,0.00025481998
47,0.7474859,0.9999602,0.85548407,0.00025502685
48,0.7475081,0.9999602,0.8554987,0.00025503704
49,0.74753034,0.9999602,0.8555132,0.00025509155
50,0.7475526,0.9999602,0.8555277,0.00025575905
51,0.74757487,0.9999602,0.85554236,0.00025637282
52,0.7475971,0.9999602,0.8555569,0.00025652297
53,0.74761933,0.9999602,0.85557145,0.0002565973
54,0.74764156,0.9999602,0.85558605,0.00025710178
55,0.74766386,0.9999602,0.85560066,0.00025770575
56,0.7476861,0.9999602,0.85561514,0.00025772175
57,0.7477083,0.9999602,0.85562974,0.0002579302
58,0.7477306,0.9999602,0.85564435,0.00025794446
59,0.74775285,0.9999602,0.8556589,0.0002582646
60,0.7477751,0.9999602,0.8556734,0.00025832836
61,0.74779737,0.9999602,0.855688,0.00025834635
62,0.7478196,0.9999602,0.8557025,0.00025901597
63,0.7478419,0.9999602,0.8557172,0.00025921065
64,0.7478641,0.9999602,0.85573167,0.0002599992
65,0.7478864,0.9999602,0.85574627,0.00026002649
66,0.74790865,0.9999602,0.8557609,0.00026028717
67,0.74793094,0.9999602,0.8557754,0.00026040556
68,0.7479532,0.9999602,0.85578996,0.0002616205
69,0.74797547,0.9999602,0.85580456,0.00026278695
70,0.74799776,0.9999602,0.85581917,0.00026297843
71,0.74802,0.9999602,0.85583377,0.0002631131
72,0.7480423,0.9999602,0.8558483,0.0002632825
73,0.7480646,0.9999602,0.8558629,0.00026333067
74,0.7480868,0.9999602,0.85587746,0.00026346327
