,train_precision,train_recall,train_f1,train_treshold
0,0.8569187,1.0,0.92294693,0.00156407
1,0.85691386,0.9999602,0.9229272,0.0015678805
2,0.8569431,0.9999602,0.92294407,0.0015680006
3,0.8569723,0.9999602,0.9229611,0.0015739662
4,0.85700154,0.9999602,0.92297804,0.0015755107
5,0.85703075,0.9999602,0.922995,0.0015794581
6,0.85706,0.9999602,0.9230119,0.0015826314
7,0.8570892,0.9999602,0.9230288,0.0015835072
8,0.8571185,0.9999602,0.9230458,0.0015845282
9,0.85714775,0.9999602,0.9230628,0.0015848624
10,0.85717696,0.9999602,0.92307967,0.0015854479
11,0.8572062,0.9999602,0.92309666,0.0015875319
12,0.8572355,0.9999602,0.9231137,0.0015882137
13,0.8572647,0.9999602,0.9231306,0.001591032
14,0.85729396,0.9999602,0.92314756,0.0015932574
15,0.8573232,0.9999602,0.92316455,0.0015941224
16,0.8573525,0.9999602,0.9231815,0.0015942287
17,0.85738176,0.9999602,0.9231984,0.0015960893
18,0.857411,0.9999602,0.92321545,0.0015987327
19,0.8574403,0.9999602,0.92323244,0.001599599
20,0.85746956,0.9999602,0.92324936,0.0016034723
21,0.8574988,0.9999602,0.9232663,0.0016070306
22,0.8575281,0.9999602,0.9232833,0.001607508
23,0.85755736,0.9999602,0.92330027,0.0016101658
24,0.8575866,0.9999602,0.9233172,0.0016105484
25,0.8576159,0.9999602,0.9233341,0.0016117579
26,0.85764515,0.9999602,0.9233511,0.0016118685
27,0.8576745,0.9999602,0.92336816,0.0016121921
28,0.85770375,0.9999602,0.92338514,0.0016122812
29,0.857733,0.9999602,0.9234021,0.001612352
30,0.8577623,0.9999602,0.923419,0.0016141045
31,0.8577916,0.9999602,0.923436,0.001616483
32,0.85782087,0.9999602,0.923453,0.0016203529
33,0.8578502,0.9999602,0.92346996,0.0016203761
34,0.85787946,0.9999602,0.92348695,0.0016206702
35,0.8579088,0.9999602,0.92350394,0.0016217522
36,0.85793805,0.9999602,0.92352086,0.0016224758
37,0.8579674,0.9999602,0.92353785,0.0016225515
38,0.85799664,0.9999602,0.9235548,0.0016269758
39,0.85802597,0.9999602,0.92357177,0.0016282987
40,0.85805523,0.9999602,0.92358875,0.0016285768
41,0.85808456,0.9999602,0.92360574,0.0016302367
42,0.8581139,0.9999602,0.9236227,0.0016303422
43,0.8581432,0.9999602,0.9236397,0.0016343374
44,0.8581725,0.9999602,0.9236567,0.0016351833
45,0.8582018,0.9999602,0.9236737,0.0016362158
46,0.8582311,0.9999602,0.9236907,0.0016363522
47,0.85826045,0.9999602,0.92370766,0.0016375763
48,0.8582898,0.9999602,0.92372465,0.0016414297
49,0.8583191,0.9999602,0.92374164,0.0016480216
50,0.8583484,0.9999602,0.9237586,0.0016522557
51,0.85837775,0.9999602,0.9237756,0.0016534737
